track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts, streams ,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Static,Steve Lacy,1,2022,7,15,1613,0," $202,452,860.00 ",21,15,13,0,0,79,C#,Major,34,22,31,43,63,10,7
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0," $123,473,120.00 ",54,6,124,1,0,126,A,Major,81,90,73,28,0,29,4
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6," $247,689,123.00 ",41,0,158,2,68,156,G,Major,72,92,77,9,0,8,11
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0," $97,610,446.00 ",28,67,195,0,0,145,G,Major,56,43,53,24,0,12,4
Normal,Feid,1,2022,7,8,2461,36," $459,276,435.00 ",47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45," $1,356,565,093.00 ",94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0," $121,189,256.00 ",49,3,57,0,0,90,C#,Major,85,80,83,10,0,8,11
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4," $187,701,588.00 ",0,0,30,0,0,161,A#,Minor,59,62,60,12,0,5,44
MORE,j-hope,1,2022,7,1,565,0," $155,795,783.00 ",6,52,11,0,0,97,D,Major,78,31,72,1,0,11,4
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0," $85,924,992.00 ",11,0,2,0,0,157,A,Major,88,52,69,0,0,8,23
Bad Habit,Steve Lacy,1,2022,6,29,8186,12," $822,633,917.00 ",155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39," $720,434,240.00 ",38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3
POP!,Nayeon,1,2022,6,24,571,0," $213,505,179.00 ",19,21,14,0,2,97,D,Major,80,36,86,4,0,3,5
die first,Nessa Barrett,1,2022,6,24,767,0," $131,746,175.00 ",25,0,22,0,0,183,G#,Minor,44,44,67,7,0,12,13
Poland,Lil Yachty,1,2022,6,23,1584,0," $115,331,792.00 ",38,0,24,0,0,150,F,Minor,70,26,56,14,83,11,5
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0," $354,614,964.00 ",222,61,259,14,2,115,C#,Minor,70,87,88,4,0,26,8
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27," $618,885,532.00 ",81,121,58,1,34,163,,Major,54,40,67,0,0,9,17
Massive,Drake,1,2022,6,17,5263,0," $195,628,667.00 ",66,89,61,0,11,125,E,Minor,51,5,68,12,2,15,6
Sticky,Drake,1,2022,6,17,2814,0," $191,448,892.00 ",38,105,25,0,2,137,A#,Minor,88,8,49,9,0,9,14
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0," $279,717,388.00 ",37,2,38,2,0,110,C#,Major,91,59,82,8,0,6,8
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0," $240,918,092.00 ",81,4,248,1,6,132,B,Major,82,49,88,20,0,21,3
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6," $244,585,109.00 ",102,53,113,12,0,137,,Major,74,71,89,24,61,15,5
Glimpse of Us,Joji,1,2022,6,10,6330,6," $988,515,741.00 ",109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5
Run BTS,BTS,1,2022,6,10,736,0," $330,881,149.00 ",5,132,17,0,3,77,G#,Major,72,70,82,2,0,4,17
Yet To Come,BTS,1,2022,6,10,829,0," $302,006,641.00 ",32,110,26,0,0,172,C#,Major,56,68,89,4,0,33,19
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2," $295,307,001.00 ",107,76,86,1,9,120,,Minor,91,63,77,12,1,10,5
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8," $222,410,722.00 ",117,72,107,1,7,93,A#,Minor,65,79,66,31,0,22,7
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0," $221,752,937.00 ",45,2,26,0,1,102,C#,Major,73,62,75,0,0,34,8
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0," $136,676,504.00 ",34,0,29,0,0,120,G,Major,88,15,56,1,0,8,6
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2," $129,314,708.00 ",17,0,24,0,30,130,D#,Minor,71,78,40,46,0,7,45
For Youth,BTS,1,2022,6,10,327,0," $114,546,317.00 ",5,40,12,0,0,117,D,Major,63,29,51,43,0,25,4
Born Singer,BTS,1,2022,6,10,279,0," $79,095,270.00 ",0,18,6,0,0,158,G#,Minor,60,68,84,4,0,24,11
So Good,Halsey,1,2022,6,9,1057,0," $91,781,263.00 ",51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0," $248,511,839.00 ",26,16,17,0,1,128,C#,Minor,82,42,75,6,0,63,6
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14," $609,293,408.00 ",94,21,80,15,38,101,F,Major,74,43,69,12,0,12,7
Ferxxo 100,Feid,1,2022,6,3,1647,30," $278,920,007.00 ",20,49,23,2,2,164,G#,Minor,70,58,57,25,0,15,7
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4," $176,103,902.00 ",28,0,54,0,0,130,F#,Major,95,83,57,54,0,10,25
Antes de Perderte,Duki,1,2022,6,2,584,8," $157,136,970.00 ",12,1,8,0,1,110,F,Minor,81,61,93,49,0,12,11
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0," $138,334,433.00 ",0,0,2,0,0,92,F#,Major,83,56,82,10,0,9,5
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6," $156,777,415.00 ",1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0," $194,902,696.00 ",23,1,44,1,0,84,F,Minor,71,39,86,2,0,51,25
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0," $190,625,045.00 ",73,45,119,0,0,100,B,Minor,82,76,70,16,0,8,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,45," $1,214,083,358.00 ",139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0," $160,845,341.00 ",19,0,15,0,0,77,B,Major,81,68,58,83,0,11,34
Late Night Talking,Harry Styles,1,2022,5,20,7461,8," $743,693,613.00 ",166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5
Matilda,Harry Styles,1,2022,5,20,3218,3," $366,214,458.00 ",29,10,79,0,0,114,D,Major,51,39,29,90,0,10,4
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1," $334,733,572.00 ",80,11,66,0,1,107,B,Major,72,36,72,26,6,11,4
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3," $333,146,475.00 ",36,1,31,0,1,170,A,Minor,80,77,85,11,0,17,14
Satellite,Harry Styles,1,2022,5,20,3291,5," $311,482,393.00 ",43,28,79,0,208,139,,Major,58,30,46,14,0,9,3
Daylight,Harry Styles,1,2022,5,20,2775,0," $290,833,204.00 ",21,11,40,0,0,146,,Major,69,63,45,48,0,18,4
Little Freak,Harry Styles,1,2022,5,20,2302,0," $273,194,684.00 ",20,3,39,0,0,142,D#,Major,56,40,54,72,0,10,4
Keep Driving,Harry Styles,1,2022,5,20,2094,1," $236,060,709.00 ",8,1,18,0,0,165,A,Major,72,90,48,32,0,18,23
Love Of My Life,Harry Styles,1,2022,5,20,1933,0," $233,671,263.00 ",13,2,31,0,0,118,G,Major,56,20,54,67,0,6,5
Grapejuice,Harry Styles,1,2022,5,20,1986,0," $199,587,884.00 ",7,1,15,0,0,183,F,Major,65,88,72,36,14,20,3
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4," $191,873,381.00 ",22,2,65,1,3,135,G#,Major,77,74,74,47,0,34,8
Cinema,Harry Styles,1,2022,5,20,2171,0," $189,236,868.00 ",18,1,28,0,0,106,A,Minor,83,90,64,35,5,9,4
Daydreaming,Harry Styles,1,2022,5,20,1900,1," $187,703,102.00 ",15,1,23,0,0,114,E,Minor,71,90,81,31,2,13,3
Boyfriends,Harry Styles,1,2022,5,20,1517,0," $137,070,925.00 ",26,2,30,0,0,118,,Major,42,32,20,94,0,11,4
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76," $1,085,685,420.00 ",241,127,458,37,332,140,,Major,71,82,81,11,0,6,5
You Proof,Morgan Wallen,1,2022,5,13,2128,9," $367,814,306.00 ",37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3
N95,Kendrick Lamar,1,2022,5,13,5542,0," $301,242,089.00 ",52,16,65,0,206,140,D#,Minor,81,39,66,38,0,12,14
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0," $237,351,106.00 ",38,13,32,0,0,101,C#,Minor,78,40,74,36,0,17,27
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0," $231,657,891.00 ",93,12,173,11,3,121,G,Major,64,80,88,0,0,12,6
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4," $184,807,630.00 ",16,5,0,0,6,130,,Major,49,14,40,82,0,11,3
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0," $173,702,135.00 ",20,10,33,0,0,96,A#,Minor,85,41,43,39,0,12,21
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0," $164,856,284.00 ",5,36,1,0,0,154,F#,Minor,70,97,62,47,0,10,4
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0," $156,898,322.00 ",4,5,12,0,51,87,G#,Major,52,32,83,24,0,17,43
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0," $127,309,180.00 ",4,0,22,0,0,153,A#,Minor,55,50,78,19,0,11,35
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0," $126,191,104.00 ",3,7,13,0,1,134,G,Major,78,51,43,69,0,14,9
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0," $123,216,717.00 ",22,0,23,0,0,140,C#,Minor,92,78,57,46,0,14,9
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0," $86,176,890.00 ",9,0,8,0,0,123,G#,Major,61,66,71,53,0,32,46
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0," $76,831,876.00 ",7,0,7,0,0,138,D#,Minor,57,71,82,19,0,15,29
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0," $68,895,644.00 ",4,1,6,0,0,108,B,Major,65,52,69,31,0,8,36
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0," $61,739,839.00 ",1,0,5,0,0,72,A#,Minor,56,56,47,76,0,8,36
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0," $58,687,425.00 ",1,0,3,0,0,174,A,Major,73,26,54,30,0,34,32
Mirror,Kendrick Lamar,1,2022,5,13,1929,0," $53,603,447.00 ",2,0,4,0,0,92,E,Minor,66,29,65,23,0,8,7
Crown,Kendrick Lamar,1,2022,5,13,1493,0," $42,485,571.00 ",2,0,10,0,0,170,C#,Minor,37,14,24,80,0,11,4
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0," $41,210,087.00 ",0,0,0,0,0,104,G,Major,44,74,42,88,0,9,9
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0," $37,778,188.00 ",1,0,4,0,0,78,G,Major,43,60,38,76,1,48,38
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0," $37,091,576.00 ",0,0,3,0,0,118,F,Minor,66,83,43,84,0,19,19
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0," $33,381,454.00 ",3,0,2,0,0,140,G#,Minor,49,50,37,87,0,11,35
Last Last,Burna Boy,1,2022,5,12,4526,12," $293,466,523.00 ",156,275,150,3,128,88,D#,Minor,80,55,56,13,0,8,9
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0," $271,666,301.00 ",42,28,43,0,0,125,,Major,50,39,78,4,0,11,33
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0," $71,423,324.00 ",29,0,30,0,0,98,G#,Minor,76,79,81,18,0,6,34
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43," $1,440,757,818.00 ",104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42," $1,264,310,836.00 ",124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38," $1,133,865,788.00 ",71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4
Efecto,Bad Bunny,1,2022,5,6,4004,33," $1,047,480,053.00 ",34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33," $909,001,996.00 ",74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3
Neverita,Bad Bunny,1,2022,5,6,2590,30," $671,365,962.00 ",20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4," $614,555,082.00 ",38,64,37,3,36,97,A,Major,83,47,80,2,0,24,9
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20," $608,228,647.00 ",27,77,22,2,0,114,B,Minor,80,42,68,2,0,66,4
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8," $479,655,659.00 ",8,25,18,1,0,196,B,Minor,66,58,79,23,0,22,20
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0," $461,558,540.00 ",27,44,24,0,5,78,F,Major,56,61,90,36,0,18,31
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0," $448,500,832.00 ",79,13,93,0,17,160,G#,Minor,80,74,60,8,0,14,26
Un Ratito,Bad Bunny,1,2022,5,6,1112,6," $417,230,415.00 ",7,30,13,1,1,93,,Minor,79,22,55,31,0,12,5
Un Coco,Bad Bunny,1,2022,5,6,1029,28," $403,231,558.00 ",5,28,9,0,0,152,B,Major,84,74,69,21,0,18,6
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0," $344,055,883.00 ",8,30,13,1,1,103,C#,Minor,80,45,62,76,0,10,38
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3," $338,422,004.00 ",10,24,11,0,0,130,C#,Major,82,50,67,12,0,13,5
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7," $319,546,754.00 ",10,30,13,0,33,108,D,Major,78,55,60,59,0,7,4
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0," $313,113,297.00 ",7,21,11,0,0,142,,Major,87,93,59,28,0,17,5
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0," $305,650,299.00 ",9,11,22,1,0,85,A#,Major,71,43,65,23,0,9,5
Aguacero,Bad Bunny,1,2022,5,6,829,0," $283,359,161.00 ",4,15,10,0,0,121,F#,Minor,86,67,65,42,0,35,7
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1," $283,332,261.00 ",8,12,9,0,0,188,F,Minor,50,41,50,69,0,12,6
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3," $279,737,940.00 ",7,25,12,0,0,105,G#,Major,81,77,79,19,0,47,8
Agosto,Bad Bunny,1,2022,5,6,897,0," $246,127,838.00 ",6,20,8,0,0,115,C#,Minor,85,72,58,9,0,49,12
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0," $212,351,890.00 ",9,7,14,0,1,118,G#,Major,63,60,70,5,0,9,31
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4," $203,221,468.00 ",16,53,1,0,61,140,F#,Major,53,51,70,49,0,14,3
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0," $150,500,965.00 ",35,0,3,0,0,158,B,Major,83,41,65,0,10,11,8
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0," $132,171,975.00 ",26,2,15,0,2,144,E,Major,47,7,50,32,0,7,4
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0," $121,077,868.00 ",15,3,3,0,0,96,B,Major,71,37,52,62,0,11,36
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0," $238,350,348.00 ",63,8,270,2,105,148,G,Major,51,21,63,5,0,41,3
Afraid To Feel,LF System,1,2022,5,2,5898,5," $244,790,012.00 ",129,55,128,0,101,128,C#,Major,58,68,91,2,0,27,11
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0," $229,497,852.00 ",18,75,9,0,0,104,G,Major,86,43,62,5,0,13,14
In The Stars,Benson Boone,1,2022,4,29,2224,8," $382,199,619.00 ",48,40,87,1,210,78,A#,Major,36,30,54,34,0,14,5
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0," $254,218,729.00 ",28,42,23,0,0,125,G#,Major,88,28,66,6,0,13,31
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0," $212,109,195.00 ",16,81,23,0,0,130,E,Major,91,91,96,3,0,3,9
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0," $106,919,680.00 ",26,1,17,0,0,150,G#,Minor,82,82,66,13,0,11,6
No Se Va,Grupo Frontera,1,2022,4,28,924,18," $404,887,295.00 ",17,80,22,9,38,173,,Major,59,69,53,12,0,23,3
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14," $556,585,270.00 ",128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0," $164,163,229.00 ",19,0,7,0,0,96,,Major,61,32,90,25,0,10,9
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2," $240,580,042.00 ",4,35,11,1,1,150,D#,Major,53,14,43,64,0,13,3
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30," $600,976,848.00 ",60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12," $449,701,773.00 ",67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0," $244,741,137.00 ",52,9,46,0,1,81,G,Major,38,20,66,9,0,9,8
Slut Me Out,NLE Choppa,1,2022,4,22,816,4," $190,490,915.00 ",21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42
Beautiful Girl,Luciano,1,2022,4,22,710,4," $160,035,717.00 ",16,11,18,0,0,140,B,Minor,84,61,42,31,0,9,9
PROVENZA,Karol G,1,2022,4,21,6587,34," $885,093,467.00 ",114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9," $606,361,689.00 ",124,66,212,13,1,174,F,Major,70,57,64,23,0,8,32
Primera Cita,Carin Leon,1,2022,4,20,266,27," $77,309,611.00 ",6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6
About Damn Time,Lizzo,1,2022,4,14,9021,0," $723,894,473.00 ",242,49,272,21,24,109,A#,Minor,84,72,74,10,0,34,7
ZOOM,Jessi,1,2022,4,13,608,0," $136,996,305.00 ",5,29,14,0,0,100,F#,Major,87,46,60,1,0,13,16
First Class,Jack Harlow,1,2022,4,8,8737,0," $694,525,298.00 ",163,32,137,15,12,107,G#,Major,91,32,56,3,0,11,10
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9," $293,186,992.00 ",67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0," $227,918,678.00 ",70,0,49,0,0,82,A,Major,70,31,34,60,1,11,4
That's Hilarious,Charlie Puth,1,2022,4,8,686,2," $146,363,130.00 ",11,6,12,0,15,108,F#,Major,71,55,44,74,0,11,6
Right On,Lil Baby,1,2022,4,8,1116,0," $101,780,047.00 ",31,9,15,0,1,166,D,Major,70,22,61,2,0,10,34
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0," $75,476,209.00 ",24,0,52,0,0,180,G,Minor,63,45,64,34,0,9,8
Chance,Paulo Londra,1,2022,4,6,225,0," $89,566,512.00 ",11,0,7,0,0,138,C#,Minor,72,22,46,24,0,9,6
LOVE DIVE,IVE,1,2022,4,5,753,8," $305,771,063.00 ",28,124,13,0,1,118,C#,Minor,70,54,71,0,0,33,4
Still Life,BIGBANG,1,2022,4,5,181,0," $53,909,146.00 ",16,14,7,0,0,118,G#,Major,68,24,58,44,0,6,3
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37," $477,033,549.00 ",28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6
In My Head,Lil Tjay,1,2022,4,1,1185,0," $190,981,339.00 ",21,0,31,0,0,143,C#,Major,68,41,55,16,0,10,12
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2," $184,622,518.00 ",23,16,9,0,5,174,C#,Major,68,45,71,18,0,11,25
As It Was,Harry Styles,1,2022,3,31,23575,130," $2,513,188,493.00 ",403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0," $255,120,451.00 ",75,11,44,0,14,147,F,Major,60,58,69,2,0,58,4
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0," $178,512,385.00 ",14,0,11,0,0,82,A#,Major,79,48,84,13,0,21,23
Fim de Semana no Rio,teto,1,2022,3,30,315,2," $139,193,812.00 ",27,2,31,0,0,119,C#,Minor,87,28,50,12,0,10,10
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2," $118,381,354.00 ",12,2,4,0,0,92,,Major,86,91,79,29,0,60,16
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77," $899,183,384.00 ",202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1," $349,746,291.00 ",55,3,32,0,0,90,G,Major,81,59,83,9,0,11,5
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0," $157,990,698.00 ",20,4,52,0,1,95,D#,Minor,69,90,91,6,0,35,4
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0," $126,443,991.00 ",5,0,4,0,1,84,E,Minor,71,63,45,45,0,11,3
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3," $130,419,412.00 ",18,124,24,1,0,140,F,Minor,44,41,92,0,0,44,7
Plan A,Paulo Londra,1,2022,3,23,1105,0," $240,661,097.00 ",32,0,19,0,0,174,,Major,58,56,83,5,0,7,4
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0," $185,550,869.00 ",23,1,15,0,0,154,G#,Major,54,45,79,1,0,17,5
SNAP,Rosa Linn,1,2022,3,19,3202,18," $726,307,468.00 ",148,80,226,24,0,170,,Major,56,53,64,11,0,45,6
SNAP,Rosa Linn,1,2022,3,19,1818,0," $711,366,595.00 ",3,0,63,0,353,170,,Major,56,52,64,11,0,45,7
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0," $286,739,476.00 ",139,73,142,0,5,123,E,Minor,60,46,71,3,0,16,4
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0," $273,005,485.00 ",49,17,30,0,0,98,G,Minor,83,63,74,14,0,16,6
MANIAC,Stray Kids,1,2022,3,18,651,0," $212,234,990.00 ",6,188,20,0,0,120,C#,Major,58,71,80,15,0,7,41
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0," $197,643,795.00 ",10,2,13,0,1,98,F,Major,78,83,75,41,0,27,8
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0," $176,290,831.00 ",32,0,49,0,0,135,D#,Minor,93,77,45,25,0,13,27
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28," $462,791,599.00 ",173,79,175,0,168,125,C#,Minor,84,70,69,1,0,5,5
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0," $299,634,472.00 ",69,2,51,11,0,124,G,Major,81,68,63,17,0,10,22
THE SHADE,Rex Orange County,1,2022,3,11,1189,6," $244,928,911.00 ",17,10,16,0,4,120,F,Major,90,73,51,39,0,9,6
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0," $53,729,194.00 ",10,4,4,0,0,105,D,Major,83,32,82,14,0,12,4
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4," $756,907,987.00 ",185,40,492,9,35,95,G#,Major,76,96,70,18,0,33,4
Starlight,Dave,1,2022,3,3,1856,3," $229,473,310.00 ",29,40,31,1,1,124,G,Major,95,36,37,35,0,10,28
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2," $202,677,468.00 ",12,4,0,0,0,72,F#,Major,64,76,44,70,9,12,4
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0," $94,616,487.00 ",7,11,13,0,0,71,C#,Minor,59,70,74,56,0,11,40
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0," $153,240,879.00 ",26,1,19,0,0,104,D,Minor,80,24,65,2,0,9,4
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0," $120,847,157.00 ",34,39,30,0,0,105,A,Minor,91,73,72,13,0,9,15
O.O,NMIXX,1,2022,2,22,290,0," $135,444,283.00 ",9,66,10,0,0,200,B,Minor,39,28,77,4,0,6,29
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0," $54,682,594.00 ",42,51,32,0,0,80,B,Major,47,33,83,18,0,10,5
